04.01.2023,"0,7"
29.07.2022,"0,71"
23.08.2022,"0,73"
27.12.2022,"0,74"
07.04.2022,"0,76"
03.03.2023,"0,77"
02.09.2022,"0,78"
08.08.2022,"0,78"
21.07.2022,"0,78"
22.07.2022,"0,82"
27.02.2023,"0,87"
09.03.2023,"0,88"
07.12.2022,"0,88"
19.01.2023,"0,89"
11.11.2022,"0,9"
17.10.2022,"0,92"
24.05.2022,"0,95"
12.01.2023,"1,06"
29.04.2022,"1,08"
07.09.2022,"1,17"
21.10.2022,"1,19"
13.01.2023,"1,21"
10.06.2022,"1,23"
02.06.2022,"1,23"
29.11.2022,"1,34"
19.05.2022,"1,39"
12.04.2022,"1,43"
20.12.2022,"1,54"
06.01.2023,"1,58"
04.10.2022,"1,67"
16.06.2022,"1,67"
04.08.2022,"1,72"
10.03.2023,"1,78"
03.10.2022,"1,79"
13.12.2022,"1,85"
28.09.2022,"2,07"
08.11.2022,"2,11"
10.11.2022,"2,33"
13.03.2023,"2,64"
04.11.2022,"2,8"
28.07.2022,"2,91"
01.12.2022,"3,14"
